date,ccy,rate
2024-10-03,EUR,1.142089
2024-10-03,GBP,1.185698
2024-10-04,EUR,1.139519
2024-10-04,GBP,1.1797
2024-10-07,EUR,1.141366
2024-10-07,GBP,1.177924
2024-10-08,EUR,1.138533
2024-10-08,GBP,1.17508
2024-10-09,EUR,1.130851
2024-10-09,GBP,1.180562
2024-10-10,EUR,1.131109
2024-10-10,GBP,1.174092
2024-10-11,EUR,1.132955
2024-10-11,GBP,1.17122
2024-10-14,EUR,1.132049
2024-10-14,GBP,1.163107
2024-10-15,EUR,1.126087
2024-10-15,GBP,1.161467
2024-10-16,EUR,1.127893
2024-10-16,GBP,1.155804
2024-10-17,EUR,1.127865
2024-10-17,GBP,1.164155
2024-10-18,EUR,1.122367
2024-10-18,GBP,1.163592
2024-10-21,EUR,1.122362
2024-10-21,GBP,1.160973
2024-10-22,EUR,1.121868
2024-10-22,GBP,1.169022
2024-10-23,EUR,1.11942
2024-10-23,GBP,1.164561
2024-10-24,EUR,1.123849
2024-10-24,GBP,1.163283
2024-10-25,EUR,1.123724
2024-10-25,GBP,1.165954
2024-10-28,EUR,1.129964
2024-10-28,GBP,1.16553
2024-10-29,EUR,1.131647
2024-10-29,GBP,1.169955
2024-10-30,EUR,1.13052
2024-10-30,GBP,1.175527
2024-10-31,EUR,1.136122
2024-10-31,GBP,1.174827
2024-11-01,EUR,1.135248
2024-11-01,GBP,1.172112
2024-11-04,EUR,1.140443
2024-11-04,GBP,1.173914
2024-11-05,EUR,1.145356
2024-11-05,GBP,1.173122
2024-11-06,EUR,1.141599
2024-11-06,GBP,1.177679
2024-11-07,EUR,1.146529
2024-11-07,GBP,1.183099
2024-11-08,EUR,1.158491
2024-11-08,GBP,1.186164
2024-11-11,EUR,1.155221
2024-11-11,GBP,1.192414
2024-11-12,EUR,1.156022
2024-11-12,GBP,1.19171
2024-11-13,EUR,1.15316
2024-11-13,GBP,1.187396
2024-11-14,EUR,1.158025
2024-11-14,GBP,1.186072
2024-11-15,EUR,1.157875
2024-11-15,GBP,1.186256
2024-11-18,EUR,1.155533
2024-11-18,GBP,1.18291
2024-11-19,EUR,1.154946
2024-11-19,GBP,1.176799
2024-11-20,EUR,1.159059
2024-11-20,GBP,1.1743
2024-11-21,EUR,1.16018
2024-11-21,GBP,1.176754
2024-11-22,EUR,1.159379
2024-11-22,GBP,1.180024
2024-11-25,EUR,1.162637
2024-11-25,GBP,1.179902
2024-11-26,EUR,1.166553
2024-11-26,GBP,1.182422
2024-11-27,EUR,1.160137
2024-11-27,GBP,1.182805
2024-11-29,EUR,1.164645
2024-11-29,GBP,1.177623
2024-12-02,EUR,1.169431
2024-12-02,GBP,1.17566
2024-12-03,EUR,1.168565
2024-12-03,GBP,1.176196
2024-12-04,EUR,1.165462
2024-12-04,GBP,1.17196
2024-12-05,EUR,1.165514
2024-12-05,GBP,1.171117
2024-12-06,EUR,1.167694
2024-12-06,GBP,1.168585
2024-12-09,EUR,1.169681
2024-12-09,GBP,1.170111
2024-12-10,EUR,1.165679
2024-12-10,GBP,1.176568
2024-12-11,EUR,1.165202
2024-12-11,GBP,1.169615
2024-12-12,EUR,1.16144
2024-12-12,GBP,1.171229
2024-12-13,EUR,1.162803
2024-12-13,GBP,1.171
2024-12-16,EUR,1.161692
2024-12-16,GBP,1.17877
2024-12-17,EUR,1.161426
2024-12-17,GBP,1.175506
2024-12-18,EUR,1.155558
2024-12-18,GBP,1.180289
2024-12-19,EUR,1.154935
2024-12-19,GBP,1.181862
2024-12-20,EUR,1.153077
2024-12-20,GBP,1.176683
2024-12-23,EUR,1.164263
2024-12-23,GBP,1.17474
2024-12-24,EUR,1.162664
2024-12-24,GBP,1.174591
2024-12-27,EUR,1.155854
2024-12-27,GBP,1.179217
2024-12-30,EUR,1.155206
2024-12-30,GBP,1.181033
2024-12-31,EUR,1.156741
2024-12-31,GBP,1.174024
2025-01-01,EUR,1.160201
2025-01-01,GBP,1.175771
2025-01-02,EUR,1.161149
2025-01-02,GBP,1.170477
2025-01-03,EUR,1.15852
2025-01-03,GBP,1.170156
2025-01-06,EUR,1.157883
2025-01-06,GBP,1.173488
2025-01-07,EUR,1.16068
2025-01-07,GBP,1.173142
